0A,GNT,Amber Air,GINTA,Lithuania,,
0B,JOR,Blue Air,BLUE TRANSPORT,Romania,,
0C,IBL,IBL Aviation,CATOVAIR,Mauritius,,
0D,DWT,Darwin Airline,DARWIN,Switzerland,,
0J,JCS,Jetclub,JETCLUB,Switzerland,,
1A,AGT,Amadeus Global Travel Distribution,AMADEUS,Spain,,
1I,PZR,Sky Trek International Airlines,PHAZER,United States,,
1L,OSY,Open Skies Consultative Commission,OPEN SKIES,United States,,
1T,RNX,1Time Airline,NEXTIME,South Africa,,
1W,WON,Wings Air,WINGS ABADI,Indonesia,,
1Z,APD,Sabre Pacific,,Australia,,
2B,ARD,Aerocondor,AEROCONDOR,Portugal,,
2F,FTA,Frontier Flying Service,FRONTIER-AIR,United States,,
2G,MRR,San Juan Airlines,MARINER,United States,,
2J,VBW,Air Burkina,BURKINA,Burkina Faso,,
2K,GLG,Aerogal,AEROGAL,Ecuador,,
2L,OAW,Helvetic Airways,HELVETIC,Switzerland,,
2M,MDV,Moldavian Airlines,MOLDAVIAN,Moldova,,
2N,NTJ,NextJet,NEXTJET,Sweden,,
2O,RNE,Air Salone,AIR SALONE,Sierra Leone,,
2P,GAP,Air Philippines,ORIENT PACIFIC,Philippines,,
2Q,SNC,Air Cargo Carriers,NIGHT CARGO,United States,,
2S,SDY,Island Express,SANDY ISLE,United States,,
2T,HAM,Haiti Ambassador Airlines,,Haiti,,
2U,GIP,Air Guinee Express,FUTURE EXPRESS,Guinea,,
2W,WLC,Welcome Air,WELCOMEAIR,Austria,,
2Z,CGN,Chang'an Airlines,CHANGAN,China,,
3B,CCG,Central Connect Airlines,,Czech Republic,,
3C,CEA,RegionsAir,CORP-X,United States,,
3G,AYZ,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia,,
3J,WZP,Zip,ZIPPER,Canada,,
3K,JSA,Jetstar Asia Airways,JETSTAR ASIA,Singapore,,
3N,URG,Air Urga,URGA,Ukraine,,
3P,TNM,Tiara Air,TIARA,Aruba,,
3R,GAI,Moskovia Airlines,GROMOV AIRLINE,Russia,,
3S,BOX,Aerologic,GERMAN CARGO,Germany,,
3T,URN,Turan Air,TURAN,Azerbaijan,,
3U,CSC,Sichuan Airlines,SI CHUAN,China,,
3V,TAY,TNT Airways,QUALITY,Belgium,,
3W,EMX,Euromanx Airways,EUROMANX,Austria,,
4A,AKL,Air Kiribati,,Kiribati,,
4C,ARE,"Aires, Aerovías de Integración Regional, S.A.",AIRES,Colombia,,
4D,ASD,Air Sinai,AIR SINAI,Egypt,,
4F,ECE,Air City,AIRCITY,Germany,,
4G,GZP,Gazpromavia,GAZPROMAVIA,Russia,,
4K,AAS,Askari Aviation,AL-ASS,Pakistan,,
4M,DSM,Aero 2000,LAN AR,Argentina,,
4N,ANT,Air North Charter - Canada,AIR NORTH,Canada,,
4R,HHI,Hamburg International,HAMBURG JET,Germany,,
4S,FNC,Finalair Congo,FINALAIR CONGO,Republic of the Congo,,
4T,BHP,Belair Airlines,BELAIR,Switzerland,,
4U,GWI,Germanwings,GERMAN WINGS,Germany,,
4Y,UYA,Yute Air Alaska,,United States,,
5A,AIP,Alpine Air Express,ALPINE AIR,United States,,
5C,ICL,CAL Cargo Air Lines,CAL,Israel,,
5D,SLI,Aerolitoral,COSTERA,Mexico,,
5F,CIR,Arctic Circle Air Service,AIR ARCTIC,United States,,
5J,CEB,Cebu Pacific,CEBU AIR,Philippines,,
5K,HFY,Hi Fly,SKY FLYER,Portugal,,
5L,ASU,Aerosur,AEROSUR,Bolivia,,
5M,SIB,Sibaviatrans,SIBAVIA,Russia,,
5N,AUL,Nordavia,ARCHANGELSK AIR,Russia,,
5O,FPO,Europe Airpost,FRENCH POST,France,,
5T,MPE,Canadian North,EMPRESS,Canada,,
5V,UKW,Lviv Airlines,UKRAINE WEST,Ukraine,,
5W,AEU,Astraeus,FLYSTAR,United Kingdom,,
5X,UPS,United Parcel Service,UPS,United States,,
5Y,GTI,Atlas Air,GIANT,United States,,
5Z,BML,Bismillah Airlines,BISMILLAH,Bangladesh,,
6A,CHP,Aviacsa,AVIACSA,Mexico,,
6B,BLX,TUIfly Nordic,BLUESCAN,Sweden,,
6E,IGO,IndiGo Airlines,IFLY,India,,
6G,AWW,Air Wales,RED DRAGON,United Kingdom,,
6H,ISR,Israir,ISRAIR,Israel,,
6I,IBZ,International Business Air,INTERBIZ,Sweden,,
6J,SNJ,Skynet Asia Airways,NEWSKY,Japan,,
6K,RIT,Asian Spirit,ASIAN SPIRIT,Philippines,,
6N,NRD,Nordic Regional,NORTH RIDER,Sweden,,
6P,ISG,Club Air,CLUBAIR,Italy,,
6Q,SLL,Slovak Airlines,SLOV LINE,Slovakia,,
6R,DRU,Alrosa Mirny Air Enterprise,MIRNY,Russia,,
6U,UKR,Air Ukraine,AIR UKRAINE,Ukraine,,
6V,VGA,Air Vegas,AIR VEGAS,United States,,
6W,SOV,Saratov Aviation Division,SARATOV AIR,Russia,,
6Z,UKS,Ukrainian Cargo Airways,CARGOTRANS,Ukraine,,
7C,JJA,Jeju Air,JEJU AIR,Republic of Korea,,
7E,AWU,Sylt Air GmbH,SYLT-AIR,Germany,,
7F,FAB,First Air,FIRST AIR,Canada,,
7G,SFJ,Star Flyer,STARFLYER,Japan,,
7K,KGL,Kogalymavia Air Company,KOGALYM,Russia,,
7L,ERO,Sun D'Or,ECHO ROMEO,Israel,,
7N,CNA,Centavia,,Serbia,,
7O,GAL,Galaxy Air,GALAXY,Kyrgyzstan,,
7R,BRB,BRA-Transportes Aéreos,BRA-TRANSPAEREOS,Brazil,,
7S,RCT,Ryan Air Service,ARCTIC TRANSPORT,United States,,
7T,AGV,Air Glaciers,AIR GLACIERS,Switzerland,,
8A,BMM,Atlas Blue,ATLAS BLUE,Morocco,,
8B,GFI,Caribbean Star Airlines,CARIB STAR,Antigua and Barbuda,,
8C,ATN,Air Transport International,AIR TRANSPORT,United States,,
8D,EXV,Expo Aviation,EXPOAVIA,Sri Lanka,,
8E,BRG,Bering Air,BERING AIR,United States,,
8F,FFR,Fischer Air,FISCHER,Czech Republic,,
8H,HFR,Heli France,HELIFRANCE,France,,
8J,KMV,Komiinteravia,KOMIINTER,Russia,,
8L,RHC,Redhill Aviation,REDAIR,United Kingdom,,
8M,MXL,Maxair,MAXAIR,Sweden,,
8N,NKF,Barents AirLink,NORDFLIGHT,Sweden,,
