"icao","iata","name"
"N12","12","12 North"
"RNX","1T","1Time Airline"
"MLA","Q5","40-Mile Air"
"VVN","47","88 Cyprus"
"","1B","Abacus International"
"TUS","M3","ABSA - Aerolinhas Brasileiras"
"AUH","MO","Abu Dhabi Amiri Flight"
"CYD","ZA","Access Air"
"AES","","ACES Colombia"
"VUE","","AD Aviation"
"ADE","ZY","Ada Air"
"DHI","KI","Adam Air"
"ADR","JP","Adria Airways"
"AEE","A3","Aegean Airlines"
"REA","RE","Aer Arann"
"EIN","EI","Aer Lingus"
"AXZ","JY","Aereonautica militare"
"DSM","4M","Aero 2000"
"AEB","EM","Aero Benin"
"CDP","Q6","Aero Condor Peru"
"NIG","AJ","Aero Contractors"
"ARF","GV","Aero Flight"
"RLN","QL","Aero Lanka"
"RSR","BF","Aero-Service"
"ARD","2B","Aerocondor"
"AFL","SU","Aeroflot Russian Airlines"
"DNV","D9","Aeroflot-Don"
"AUL","5N","Aeroflot-Nord"
"GLG","2K","AeroGal: Aerolineas Galapagos"
"LNE","XL","Aerolane"
"AWU","7E","Aeroline GmbH"
"AA1","","Aerolineas Africanas"
"ARG","AR","Aerolineas Argentinas"
"SZB","","Aerolineas heredas santa maria"
"SLI","5D","Aerolitoral"
"TAO","VW","Aeromar"
"AMX","AM","AeroMéxico"
"RTE","","Aeronorte"
"PEL","OT","Aeropelican Air Services"
"PLI","PL","Aeroper"
"RPB","P5","AeroRep"
"RSU","5L","Aerosur"
"AEW","VV","Aerosvit Airlines"
"WER","W4","AeroWorld"
"WTA","FK","Africa West"
"AAW","8U","Afriqiyah Airways"
"AAF","ZI","Aigle Azur"
"DCD","","Air 26"
"RKA","RK","Air Afrique"
"LFA","","Air Alfa"
"DAH","AH","Air Algerie"
"","3S","Air Antilles Express"
"ABY","G9","Air Arabia"
"RBG","E5","Air Arabia Egypt"
"","3O","Air Arabia Maroc"
"KZR","KC","Air Astana"
"ABD","CC","Air Atlanta Icelandic"
"REU","UU","Air Austral"
"JAB","W9","Air Bagan"
"BTI","BT","Air Baltic"
"BGD","B9","Air Bangladesh"
"BTM","","Air Batumi"
"BER","AB","Air Berlin"
"BON","JA","Air Bosna"
"BOT","BP","Air Botswana"
"BUB","ZB","Air Bourbon"
"BUR","","Air Bucharest"
"VBW","2J","Air Burkina"
"ABL","BX","Air Busan"
"ACI","SB","Air Caledonie International"
"ACA","AC","Air Canada"
"JZA","QK","Air Canada Jazz"
"FWI","TX","Air Caraïbes"
"SNC","2Q","Air Cargo Carriers"
"","6U","Air Cargo Germany"
"CEY","","Air Century"
"CVA","CV","Air Chathams"
"CCA","CA","Air China"
"","3E","Air Choice One"
"","3I","Air Comet Chile"
"CUD","","Air Cudlua"
"DLA","EN","Air Dolomiti"
"AEA","UX","Air Europa"
"AEL","PE","Air Europe"
"AXL","XT","Air Exel"
"AXE","","Air Explore"
"FIF","OF","Air Finland"
"FLZ","QH","Air Florida"
"UPA","GS","Air Foyle"
"AFR","AF","Air France"
"AGV","7T","Air Glaciers"
"GRL","GL","Air Greenland"
"GIP","2U","Air Guinee Express"
"GUY","GG","Air Guyane"
"AHO","HH","Air Hamburg"
"FXI","NY","Air Iceland"
"AXB","IX","Air India Express"
"AIC","AI","Air India Limited"
"","CD","Air India Regional"
"IIA","","AIR INDOCHINE"
"AI0","PP","Air Indus"
"AEY","I9","Air Italy"
"EUD","","Air Italy Egypt"
"VUN","VU","Air Ivoire"
"AJM","JM","Air Jamaica"
"AJX","NQ","Air Japan"
"KZK","9Y","Air Kazakhstan"
"AKL","4A","Air Kiribati"
"AKA","","Air Korea"
"KOR","JS","Air Koryo"
"","VD","Air Libert"
"LXR","LK","Air Luxor"
"AMU","NX","Air Macau"
"MDG","MD","Air Madagascar"
"DRD","NM","Air Madrid"
"AML","QM","Air Malawi"
"AMC","KM","Air Malta"
"","6T","Air Mandalay"
"CWM","CW","Air Marshall Islands"
"MAU","MK","Air Mauritius"
"BIE","DR","Air Mediterranee"
"MKG","P8","Air Mekong"
"MLD","9U","Air Moldova"
"TAH","","Air Moorea"
"","TM","Air Mozambique"
"NMB","SW","Air Namibia"
"ANZ","NZ","Air New Zealand"
"ANK","EL","Air Nippon"
"ANG","PX","Air Niugini"
"ANT","4N","Air North Charter - Canada"
"ANE","YW","Air Nostrum"
"ADH","AP","Air One"
"FJI","FJ","Air Pacific"
"GAP","2P","Air Philippines"
"MPD","A7","Air Plus Comet"
"RAR","GZ","Air Rarotonga"
"RSH","S2","Air Sahara"
"SPM","PJ","Air Saint Pierre"
"RNE","20","Air Salone"
"SEY","HM","Air Seychelles"
"","BM","Air Sicilia"
"ASD","4D","Air Sinai"
"WOW","","Air Southwest"
"RSI","","Air Sunshine"
"VTA","VT","Air Tahiti"
"THT","TN","Air Tahiti Nui"
"ATC","TC","Air Tanzania"
"","8T","Air Tindi"
"TSC","TS","Air Transat"
"AVN","NF","Air Vanuatu"
"VIM","VL","Air VIA"
"","G6","Air Volga"
"AWW","6G","Air Wales"
"AWI","ZW","Air Wisconsin"
"AZW","UM","Air Zimbabwe"
"","F8","Air2there"
"AXM","AK","AirAsia"
"XAX","D7","AirAsia X"
"ABQ","ED","Airblue"
"SYL","R3","Aircompany Yakutia"
"ARE","4C","Aires"
"FIX","","Airfix Aviation"
"AIR","","Airlift International"
"RLA","A5","Airlinair"
"ATM","FO","Airlines Of Tasmania"
"TOK","CG","Airlines PNG"
"","4Z","Airlink South Africa"
"ANO","TL","Airnorth"
"RRJ","R8","AirRussia"
"TRS","FL","AirTran Airways"
"","NA","Al-Naser Airlines"
"","J4","ALAK"
"ASA","AS","Alaska Airlines"
"AER","KO","Alaska Central Express"
"","J5","Alaska Seaplane Service"
"LBC","LV","Albanian Airlines"
"LAV","","AlbaStar"
"AZA","AZ","Alitalia"
"","CT","Alitalia Cityliner"
"SMX","XM","Alitalia Express"
"ANA","NH","All Nippon Airways"
"ALO","","Allegheny Commuter Airlines"
"AAY","G4","Allegiant Air"
"UTY","QQ","Alliance Airlines"
"LMU","UJ","AlMasria Universal Airlines"
"AAH","AQ","Aloha Airlines"
"DRU","6R","Alrosa Mirny Air Enterprise"
"AZN","Z8","Amaszonas"
"AMV","","AMC Airlines"
"AWE","HP","America West Airlines"
"AAL","AA","American Airlines"
"EGF","MQ","American Eagle Airlines"
"AAN","WD","Amsterdam Airlines"
"ANU","","Andalus Lineas Aereas"
"AAA","AN","Ansett Australia"
"AFG","FG","Ariana Afghan Airlines"
"NAK","Q9","Arik Niger"
"TFL","OR","Arkefly"
"AIZ","IZ","Arkia Israel Airlines"
"RNV","U8","Armavia"
"APW","JW","Arrow Air"
"OCA","R7","Aserca Airlines"
"AWA","Y5","Asia Wings"
"RIT","6K","Asian Spirit"
"AWM","AW","Asian Wings Airways"
"AAR","OZ","Asiana Airlines"
"AAS","4K","Askari Aviation"
"","8D","Astair"
"AEU","5W","Astraeus"
"ASZ","OB","Astrakhan Airlines"
"ACP","8V","Astral Aviation"
"AMT","TZ","ATA Airlines"
"","ZF","Athens Airways"
"A1F","A1","Atifly"
"AYZ","3G","Atlant-Soyuz Airlines"
"FLI","RC","Atlantic Airways"
"ASQ","EV","Atlantic Southeast Airlines"
"LUR","TD","Atlantis European Airways"
"GTI","5Y","Atlas Air"
"BMM","8A","Atlas Blue"
"KKK","KK","Atlasjet"
"VAS","V8","ATRAN Cargo Airlines"
"TUR","","ATUR"
"AUB","IQ","Augsburg Airways"
"AUK","AU","AUOS"
"AUR","GR","Aurigny Air Services"
"","W7","Austral Brasil"
"AUA","OS","Austrian Airlines"
"TYR","VO","Austrian Arrows"
"TWN","EC","Avialeasing Aviation Company"
"AVA","AV","Avianca - Aerovias Nacionales de Colombia"
"","AO","Avianova"
"SMJ","Z3","Avient Aviation"
"AIA","U3","Avies"
"AGX","","Aviogenex"
"AHY","J2","Azerbaijan Airlines"
"AZU","AD","Azul"
"CFE","CJ","BA CityFlyer"
"BHS","UP","Bahamasair"
"BUU","BU","Baikotovitchestrian Airlines"
"","LZ","Balkan Bulgarian Airlines"
"BA1","B1","Baltic Air lines"
"BLL","","Baltic Airlines"
"BKP","PG","Bangkok Airways"
"NKF","8N","Barents AirLink"
"BEU","","Bateleur Air"
"BLS","JV","Bearskin Lake Air Service"
"BHP","4T","Belair Airlines"
"BRU","B2","Belavia Belarusian Airlines"
"BLV","B3","Bellview Airlines"
"BMJ","CH","Bemidji Airlines"
"BRG","8E","Bering Air"
"BVT","J8","Berjaya Air"
"BKF","","BF-Lento OY"
"BBC","BG","Biman Bangladesh Airlines"
"IBB","NT","Binter Canarias"
"BSA","BZ","Black Stallion Airways"
"JOR","0B","Blue Air"
"BPA","BV","Blue Panorama Airlines"
"BWG","QW","Blue Wings"
"BLF","KF","Blue1"
"BMA","BD","bmi"
"BMI","WW","bmibaby"
"","01","Bobb Air Freight"
"BZE","GB","BRAZIL AIR"
"BRS","","Brazilian Air Force"
"BZH","DB","Brit Air"
"BAW","BA","British Airways"
"BIH","BS","British International Helicopters"
"LAJ","KJ","British Mediterranean Airways"
"BMR","","British Midland Regional"
"DAT","SN","Brussels Airlines"
"BPS","","Budapest Aircraft Services/Manx2"
"LZB","FB","Bulgaria Air"
"BQB","BQ","Buquebus Líneas Aéreas"
"","4P","Business Aviation"
"BCC","8B","BusinessAir"
"","XV","BVI Airways"
"ICL","5C","CAL Cargo Air Lines"
"CLI","XG","Calima Aviacion"
"","QC","Camair-co"
"","K6","Cambodia Angkor Air"
"CDN","CP","Canadian Airlines"
"YCP","CN","Canadian National Airways"
"MPE","5T","Canadian North"
"CAP","C2","CanXplorer"
"CA1","C1","CanXpress"
"KAP","9K","Cape Air"
"CGP","8L","Cargo Plus Aviation"
"BWA","BW","Caribbean Airlines"
"","KW","Carnival Air Lines"
"KRP","V3","Carpatair"
"SMW","","Carpatair Flight Training"
"CPN","RV","Caspian Airlines"
"CPA","CX","Cathay Pacific"
