key,iata_code,name,city,country,latitude,longitude,altitude,timezone_offset,dst
03N,UTK,Utirik Airport,Utirik Island,Marshall Islands,11.222,169.852,4,12,U
07FA,OCA,Key Largo,Ocean Reef Club Airport,United States,25.325393,-80.274775,8,-5,A
3N0,NDK,Namorik Atoll Airport,Namorik Atoll,Marshall Islands,5.63167,168.125,15,12,U
5A8,WKK,Aleknagik Airport,Aleknagik,United States,59.2826,-158.618,66,-9,A
AGAF,AFT,Afutara Airport,Afutara,Solomon Islands,-9.183056,160.949722,5,11,U
AGAR,RNA,Ulawa Airport,Ulawa,Solomon Islands,-9.854722,161.979167,5,11,U
AGAT,ATD,Uru Harbour Airport,Atoifi,Solomon Islands,-8.87333,161.011,0,11,U
AGBT,BPF,Batuna Airport,Batuna,Solomon Islands,-8.63,158,5,11,U
AGGA,AKS,Auki Airport,Auki,Solomon Islands,-8.70257,160.682,5,11,U
AGGC,CHY,Choiseul Bay Airport,Choiseul Bay,Solomon Islands,-6.711944,156.396111,5,11,U
AGGE,BAS,Ballalae Airport,Ballalae,Solomon Islands,-6.967,155.883,5,11,U
AGGF,FRE,Fera/Maringe Airport,Fera Island,Solomon Islands,-8.1075,159.577,0,11,U
AGGH,HIR,Honiara International,Honiara,Solomon Islands,-9.428,160.054789,28,11,U
AGGI,MBU,Babanakira Airport,Mbambanakira,Solomon Islands,-9.7475,159.839,0,11,U
AGGK,IRA,Ngorangora Airport,Kirakira,Solomon Islands,-10.4497,161.898,0,11,U
AGGL,SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,Solomon Islands,-10.7203,165.795,18,11,U
AGGM,MUA,Munda Airport,,Solomon Islands,-8.32797,157.263,10,11,U
AGGN,GZO,Nusatupe Airport,Gizo,Solomon Islands,-8.09778,156.864,13,11,U
AGGO,MNY,Mono Airport,Stirling Island,Solomon Islands,-7.41694,155.565,0,10,U
AGGR,RNL,Rennell/Tingoa Airport,Rennell Island,Solomon Islands,-11.5339,160.063,0,11,U
AGGS,EGM,Sege Airport,Sege,Solomon Islands,-8.57889,157.876,0,11,U
AGGT,NNB,Santa Ana Airport,Santa Ana,Solomon Islands,-10.848056,162.454167,6,11,U
AGGU,RUS,Marau Airport,Marau,Solomon Islands,-9.86167,160.825,0,11,U
AGGV,VAO,Suavanao Airport,Suavanao,Solomon Islands,-7.58556,158.731,0,11,U
AGGY,XYA,Yandina Airport,Yandina,Solomon Islands,-9.086111,159.218889,6,11,U
AGKG,KGE,Kagau Island Airport,Kagau Island,Solomon Islands,-7.333,157.583,0,11,U
AGRC,RIN,Ringi Cove Airport,Ringi Cove,Solomon Islands,-8.12639,157.143,0,11,U
AGRM,RBV,Ramata Airport,Ramata,Solomon Islands,-8.16806,157.643,0,11,U
ALX_,ALX,Alexandria,Alexandria,United States,38.806346,-77.0621,1,-5,A
ANYN,INU,Nauru Intl,Nauru,Nauru,-0.547458,166.9191,22,12,U
AUGS,AUB,Augsburg HBF,Augsburg,Germany,48.3655,10.886,1200,2,E
AYBK,BUA,Buka Airport,Buka Island,Papua New Guinea,-5.42232,154.673,11,10,U
AYCH,CMU,Chimbu Airport,Kundiawa,Papua New Guinea,-6.02429,144.971,4974,10,U
AYDU,DAU,Daru Airport,,Papua New Guinea,-9.08676,143.208,20,10,U
AYGA,GKA,Goroka,Goroka,Papua New Guinea,-6.081689,145.391881,5282,10,U
AYGN,GUR,Gurney Airport,,Papua New Guinea,-10.3115,150.334,88,10,U
AYGR,PNP,Girua Airport,,Papua New Guinea,-8.80454,148.309,311,10,U
AYHK,HKN,Kimbe Airport,Hoskins,Papua New Guinea,-5.46217,150.405,66,10,U
AYKI,UNG,Kiunga Airport,Kiunga,Papua New Guinea,-6.12571,141.282,88,10,U
AYKK,KRI,Kikori Airport,Kikori,Papua New Guinea,-7.42438,144.25,50,10,U
AYKM,KMA,Kerema Airport,,Papua New Guinea,-7.96361,145.771,10,10,U
AYKV,KVG,Kavieng Airport,,Papua New Guinea,-2.5794,150.808,7,10,U
AYMD,MAG,Madang,Madang,Papua New Guinea,-5.207083,145.7887,20,10,U
AYMH,HGU,Mount Hagen,Mount Hagen,Papua New Guinea,-5.826789,144.295861,5388,10,U
AYMN,MDU,Mendi Airport,,Papua New Guinea,-6.14774,143.657,5680,10,U
AYMO,MAS,Momote Airport,,Papua New Guinea,-2.06189,147.424,12,10,U
AYMR,MXH,Moro Airport,Moro,Papua New Guinea,-6.36333,143.238,2740,10,U
AYMS,MIS,Misima Island Airport,Misima Island,Papua New Guinea,-10.6892,152.838,26,10,U
AYNZ,LAE,Nadzab,Nadzab,Papua New Guinea,-6.569828,146.726242,239,10,U
AYPY,POM,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,-9.443383,147.22005,146,10,U
AYTA,TIZ,Tari Airport,Tari,Papua New Guinea,-5.845,142.948,5500,10,U
AYTB,TBG,Tabubil Airport,Tabubil,Papua New Guinea,-5.27861,141.226,1570,10,U
AYTK,RAB,Tokua Airport,,Papua New Guinea,-4.34046,152.38,32,10,U
AYVN,VAI,Vanimo Airport,,Papua New Guinea,-2.69717,141.302,10,10,U
AYWD,WBM,Wapenamanda Airport,,Papua New Guinea,-5.6433,143.895,5889,10,U
AYWK,WWK,Wewak Intl,Wewak,Papua New Guinea,-3.583828,143.669186,19,10,U
BAMB,BAM,Bamberg BF,Bamberg,Germany,49.911,10.9,800,1,E
BGAM,AGM,Tasiilaq,Angmagssalik,Greenland,65.612222,-37.618333,24,-2,U
BGAP,LLU,Alluitsup Paa Heliport,Alluitsup Paa,Greenland,60.4644,-45.5778,89,-3,E
BGBW,UAK,Narsarsuaq,Narssarssuaq,Greenland,61.160517,-45.425978,112,-3,E
BGCH,JCH,Qasigiannguit,Qasigiannguit,Greenland,68.833336,-51,2,-3,E
BGCO,CNP,Neerlerit Inaat Airport,Neerlerit Inaat,Greenland,70.7433,-22.6606,45,-1,E
BGEM,JEG,Aasiaat,Aasiaat,Greenland,68.7,-52.75,2,-3,E
BGFH,JFR,Paamiut Heliport,Paamiut,Greenland,61.9922,-49.6625,0,-3,E
BGGH,GOH,Nuuk,Godthaab,Greenland,64.190922,-51.678064,283,-3,E
BGGN,JGO,Qeqertarsuaq Heliport,Qeqertarsuaq Airport,Greenland,69.2511,-53.5381,0,-3,E
BGJH,JJU,Qaqortoq Heliport,,Greenland,60.7158,-46.0294,0,-3,E
BGJN,JAV,Ilulissat,Ilulissat,Greenland,69.23444,-51.05111,2,-3,E
BGMQ,JSU,Maniitsoq Airport,Maniitsoq,Greenland,65.4125,-52.9394,91,-3,E
BGNN,JNN,Nanortalik Heliport,Nanortalik,Greenland,60.14,-45.2317,0,-3,E
BGNS,JNS,Narsaq Heliport,Narsaq,Greenland,60.9167,-46.0586,0,-3,E
BGQQ,NAQ,Qaanaaq Airport,Qaanaaq,Greenland,77.4886,-69.3887,51,-4,E
BGSC,OBY,Ittoqqortoormiit Heliport,Ittoqqortoormiit,Greenland,70.485278,-21.966667,238,0,U
BGSF,SFJ,Sondre Stromfjord,Sondrestrom,Greenland,67.016969,-50.689325,165,-3,E
BGSS,JHS,Sisimiut Airport,Sisimiut,Greenland,66.9513,-53.7293,33,-3,E
BGTL,THU,Thule Air Base,Thule,Greenland,76.531203,-68.703161,251,-4,E
BGUK,JUV,Upernavik Airport,Upernavik,Greenland,72.7902,-56.1306,414,-4,E
BGUQ,JQA,Qaarsut Airport,Uummannaq,Greenland,70.7342,-52.6962,289,-3,E
BIAR,AEY,Akureyri,Akureyri,Iceland,65.659994,-18.072703,6,0,N
BIBD,BIU,Bildudalur Airport,Bildudalur,Iceland,65.641389,-23.546111,26,0,N
BIEG,EGS,Egilsstadir,Egilsstadir,Iceland,65.283333,-14.401389,76,0,N
BIES,BIE,Biessenhofen BF,Biessenhofen,Germany,47.851,10.634,1200,2,E
BIGJ,GJR,Gjogur Airport,Gjogur,Iceland,65.995278,-21.326944,98,0,N
BIGR,GRY,Grímsey Airport,Grímsey,Iceland,66.5547,-18.0175,66,0,N
