iata,icao,name
,GNL,135 Airways,
1T,RNX,1Time Airline,
,WYT,2 Sqn No 1 Elementary Flying Training School,
,TFU,213 Flight Unit,
,CHD,223 Flight Unit State Airline,
,TTF,224th Flight Unit,
,TWF,247 Jet,
,NOH,32 Squadron Royal Air Force,
,EVY,34 Squadron,
,SEC,3D Aviation,
Q5,MLA,40-Mile Air,
,PIU,43 Air School,
,AKG,84 Squadron Royal Air Force,
,AJA,A J Services,
,GBT,A-Jet Aviation Aircraft Management,
,AJR,A-Jet Aviation,
,SFM,A-Safar Air Services,
,AJJ,A2 Jet Leasing,
,XXV,AASANA,
,BBE,Ababeel Aviation,
1B,,Abacus International,
,ABJ,Abaeté Linhas Aéreas,
,ABG,Abakan-Avia,
,ABE,Aban Air,
,MRP,Abas,
,AIJ,ABC Aerolíneas,
,AHU,ABC Air Hungary,
,FTY,ABC Bedarfsflug,
W9,AAB,Abelag Aviation,
,BDV,Aberdair Aviation,
,BOI,Aboitiz Air,
,ABP,ABS Jets,
M3,TUS,ABSA Cargo,
,COI,Absolute Flight Services,
MO,AUH,Abu Dhabi Amiri Flight,
GB,ABX,ABX Air,
,NCL,ACA-Ancargo Air Sociedade de Transporte de Carga Lda,
,ACD,Academy Airlines,
,ATZ,Ace Air,
,CFM,ACEF,
,ARO,Acero Taxi,
,BVR,ACM Air Charter,
,BJT,ACM Aviation,
,CRV,Acropolis Aviation,
,RUN,ACT Havayollari,
,ORS,Action Air,
,AXQ,Action Airlines,
,AVR,Active Aero Charter,
,ADC,AD Astra Executive Charter,
,VUE,AD Aviation,
,ADE,Ada Air,
,DSC,Addis Air Cargo Services,
,DDS,Addis Airlines,
,ADF,Ade Aviación Deportiva,
,TEC,ADI Shuttle Group,
,SWH,Adler Aviation,
JP,ADR,Adria Airways,
AHR,Air Adriatic,ADRIATIC,
,AXX,Advance Air Luftfahrtgesellschaft,
,AAX,Advance Aviation,
,XTJ,Advance Aviation Services,
4G,,Advance Leasing,
,ADD,Advanced Air,
,ADV,Advanced Flight Training,
,DVN,Adventia,
,EBS,AEG Aviation Services,
A3,AEE,Aegean Airlines,
RE,REA,Aer Arann,
EI,EIN,Aer Lingus,
,ALS,Aeralp,
,AEF,Aerea,
,ADG,Aerea Flying Training Organization,
,CBV,Aereo Cabo,
,DRD,Aereo Dorado,
,FUT,Aereo Futuro,
,MMG,Aereo Ruta Maya,
,TLD,Aereo Taxi Autlan,
,PZA,Aéreo Taxi Paraza,
,AGI,Aereo Transportes Los Angeles de America,
,WWG,Aereo WWG,
,ESB,Aereosaba,
,TXI,Aereotaxis,
,AGP,AERFI Group,
,ABF,Aerial Oy,
,SUY,Aerial Surveys,
,AEZ,Aerial Transit,
,RIS,Aeris Gestión,
,MMC,Aermarche,
4M,DSM,Aero 2000,
,RFC,Aero Africa,
,WIL,Aero Air,
,ILK,Aero Airline,
,ABM,Aero Albatros,
,ALB,Aero Albatros,
,DSK,Aero Algarve,
E4,RSO,Aero Asia International,
,BNB,Aero Banobras,
,BLZ,Aero Barloz,
EM,AEB,Aero Benin,
,BGG,Aero BG,
,BZS,Aero Biniza,
,GBJ,Aero Business Charter,
,CFV,Aero Calafia,
JR,SER,Aero California,
,GLT,Aero Charter,
,CTA,Aero Charter and Transport,
,KFK,Aero Charter Krifka,
,ITO,Aero Citro,
,AKR,Aero Clinker,
,RRB,Aero Club de Castellon,
,CLP,Aero Club De Portugal,
,CGV,Aero Clube Do Algarve,
,DFA,Aero Coach Aviation,
,ACO,Aero Comondu,
Q6,CDP,Aero Condor Peru,
AJ,NIG,Aero Contractors,
,PTE,Aero Copter,
,ARP,Aero Corporate,
,XCT,Aero Costa Taxi Aéreo,
,DVI,Aero Davinci International,
,ADL,Aero Dynamics,
,DYN,Aero Dynamics,
,AJO,Aero Ejecutivo,
,EBC,Aero Ejecutivo De Baja California,
,VEJ,Aero Ejecutivos,
,ECG,Aero Ejecutivos RCG,
,EPU,Aero Elite Acapulco,
,AFO,Aero Empresa Mexicana,
,EPE,Aero Empresarial,
,AON,Aero Entreprise,
,EOM,Aero Ermes,
,XPN,Aero Express,
,XSS,Aero Express Intercontinental,
,FNX,Aero Fenix,
,AGY,Aero Flight Service,
,FGT,Aero Freight,
,ROH,Aero Gen,
,HOM,Aero Homex,
,WAB,Aero Industries,
,INA,Aero Internacional,
,AJB,Aero JBR,
,TEJ,Aero Jet,
,AJE,Aero Jet Express,
,AJP,Aero Jets Corporativos,
,MHC,Aero Jomacha,
,JUA,Aero Juarez,
QL,RLN,Aero Lanka,
QH,FLZ,Aero Leasing,
,LDR,Aero Lider,
,ARK,Aero Link Air Services S.L.,
,AEM,Aero Madrid,
,MFL,Aero McFly,
,DLS,Aero Modelo,
,MNG,Aero Mongolia,
,NTD,Aero Norte,
,OVA,Aero Nova,
,PNL,Aero Personal,
,MIE,Aero Premier De Mexico,
,QUI,Aero Quimmco,
,NRO,Aero Rent JSC,
,RCO,Aero Renta De Coahuila,
,RRC,Aero Roca,
,SMI,Aero Sami,
,GHM,Aero Service Bolivia,
,BAS,Aero Services,
W4,BES,Aero Services Executive,
,GLM,Aero Services Mali,
,SRV,Aero Servicio Corporativo,
,GUE,Aero Servicio Guerrero,
,PTD,Aero Servicio Pity,
,RVI,Aero Servicios,
,TED,Aero Servicios Azteca,
,NEL,Aero Servicios de Nuevo Laredo,
,SEF,Aero Servicios Ejecutivas Del Pacifico,
,SII,Aero Servicios Ejecutivos Internacionales,
,EMS,Aero Servicios Empresariales,
,SVE,Aero Servicios Expecializados,
,PNU,Aero Servicios Platinum,
,ERI,Aero Servicios Regiomontanos,
,VNG,Aero Servicios Vanguardia,
,ETE,Aero Siete,
,SIZ,Aero Silza,
,ASO,Aero Slovakia,
,SDP,Aero Sudpacifico,
,IKM,Aero Survey,
,QKC,Aero Taxi Aviation,
,TBO,Aero Taxi de Los Cabos,
,TME,Aero Taxi del Centro de Mexico,
,TPO,Aero Taxi del Potosi,
,VAD,Aero Taxi Los Valles,
,TND,Aero Taxis Cessna,
,FES,Aero Taxis Y Servicios Alfe,
,TLU,Aero Toluca Internactional,
,TZA,Aero Tomza,
,TON,Aero Tonala,
,AMP,Aero Transporte,
,HUY,Aero Transportes Del Humaya,
,EPL,Aero Transportes Empresariales,
,TPB,Aero Tropical,
,TLE,Aero Util,
,ARI,Aero Vics,
,VMR,Aero Vilamoura,
,VLS,Aero Virel,
,AOV,Aero Vision,
,AOD,Aero Vodochody,
,MYS,Aero Yaqui Mayo,
,RZL,Aero Zambia,
,RZN,Aero Zano,
,ABA,Aero-Beta,
DW,UCR,Aero-Charter Ukraine,
,MSV,Aero-Kamov,
,EAP,Aero-Pyrenees,
,REN,Aero-Rent,
,REY,Aero-Rey,
BF,RSR,Aero-Service,
HC,ATI,Aero-Tropics Air Services,
,AJH,Aeroaljarafe,
,AQA,Aeroatlas,
,OBA,Aerobanana,
,BOC,Aerobona,
,BRP,AeroBratsk,
,CDA,Aerocardal,
,AOB,Aerocaribe Coro,
,ACR,Aerocenter,
,RCE,Aerocer,
,ERC,Aerocharter,
,MRM,Aerocharter,
,CYE,Aerocheyenne,
,AHP,Aerochiapas,
,BSO,Aeroclub Barcelona-Sabadell,
,NVA,Aeroclub de Albacete,
,LUE,Aeroclub de Alicante,
,MLL,Aeroclub de Mallorca,
,AVX,Aeroclub de Vitoria,
,AEK,Aerocon,
2B,ARD,Aerocondor,
,ORP,Aerocorp,
,RCP,Aerocorp,
,CTD,Aerocorporativos,
,AZM,Aerocozumel,
,RRO,Aerocredo,
,CUO,Aerocuahonte,
,ROD,Aerodan,
,FII,Aerodata Flight Inspection,
,DNA,Aerodespachos de El Salvador,
,ADN,Aerodienst GmbH,
,DIN,Aerodin,
,DMC,Aerodinamica de Monterrey,
,ADP,Aerodiplomatic,
,MAM,Aeródromo De La Mancha,
,DNJ,Aerodynamics,
,DNC,Aerodynamics Málaga,
,ADY,Aerodyne,
,AQZ,Aerodyne Charter,
,NIE,Aeroejecutiva Nieto,
,AJS,Aeroejecutivos Colombia,
,ROL,Aeroel Airways,
VB,VIV,Aeroenlaces Nacionales,
,ROE,Aeroeste,
,CFF,Aerofan,
