key,iata_code,name,city,country,latitude,longitude,altitude,timezone_offset,dst,timezone_name
03N,UTK,Utrik Airport,Utirik Island,Marshall Islands,11.222611,169.85447,4,12,U,Pacific/Majuro
07FA,OCA,Key Largo,Ocean Reef Club Airport,United States,25.325393,-80.274775,8,-5,A,America/New_York
3N0,NDK,Namdrik Island Airport,Namorik Atoll,Marshall Islands,5.633309,168.126129,15,12,U,Pacific/Majuro
5A8,WKK,Aleknagik Airport,Aleknagik,United States,59.282784,-158.617802,66,-9,A,America/Anchorage
AGAF,AFT,Afutara Airport,Afutara,Solomon Islands,-9.183056,160.949722,5,11,U,Pacific/Guadalcanal
AGAR,RNA,Ulawa Airport,Ulawa,Solomon Islands,-9.860788,161.979917,5,11,U,Pacific/Guadalcanal
AGAT,ATD,Atoifi Airport,Atoifi,Solomon Islands,-8.874302,161.012106,0,11,U,Pacific/Guadalcanal
AGBT,BPF,Batuna Airport,Batuna,Solomon Islands,-8.63,158,5,11,U,Pacific/Guadalcanal
AGGA,AKS,Auki Gwaunaru'u Airport,Auki,Solomon Islands,-8.702556,160.681809,5,11,U,Pacific/Guadalcanal
AGGC,CHY,Choiseul Bay Airport,Choiseul Bay,Solomon Islands,-6.711946,156.396111,5,11,U,Pacific/Guadalcanal
AGGE,BAS,Balalae Airport,Ballalae,Solomon Islands,-6.991244,155.885232,5,11,U,Pacific/Guadalcanal
AGGF,FRE,Fera Airport,Fera Island,Solomon Islands,-8.106961,159.577489,0,11,U,Pacific/Guadalcanal
AGGH,HIR,Honiara International Airport,Honiara,Solomon Islands,-9.428056,160.053056,28,11,U,Pacific/Guadalcanal
AGGI,MBU,Mbambanakira Airport,Mbambanakira,Solomon Islands,-9.7475,159.838889,0,11,U,Pacific/Guadalcanal
AGGK,IRA,Ngorangora Airport,Kirakira,Solomon Islands,-10.4497,161.898,0,11,U,Pacific/Guadalcanal
AGGL,SCZ,Santa Cruz Island Airport,Santa Cruz/Graciosa Bay/Luova,Solomon Islands,-10.719722,165.797778,18,11,U,Pacific/Guadalcanal
AGGM,MUA,Munda Airport,,Solomon Islands,-8.326944,157.263056,10,11,U,Pacific/Guadalcanal
AGGN,GZO,Nusatupe Airport,Gizo,Solomon Islands,-8.098333,156.863889,13,11,U,Pacific/Guadalcanal
AGGO,MNY,Mono Airport,Stirling Island,Solomon Islands,-7.417211,155.564473,0,10,U,Pacific/Guadalcanal
AGGR,RNL,Rennell/Tingoa Airport,Rennell Island,Solomon Islands,-11.558333,160.070639,0,11,U,Pacific/Guadalcanal
AGGS,EGM,Sege Airport,Sege,Solomon Islands,-8.578587,157.875235,0,11,U,Pacific/Guadalcanal
AGGT,NNB,Santa Ana Island Airfield,Santa Ana,Solomon Islands,-10.847994,162.454108,6,11,U,Pacific/Guadalcanal
AGGU,RUS,Marau Sound Airport,Marau,Solomon Islands,-9.862315,160.824978,0,11,U,Pacific/Guadalcanal
AGGV,VAO,Suavanao Airport,Suavanao,Solomon Islands,-7.587017,158.728166,0,11,U,Pacific/Guadalcanal
AGGY,XYA,Yandina Airport,Yandina,Solomon Islands,-9.100483,159.221766,6,11,U,Pacific/Guadalcanal
AGKG,KGE,Kaghau Airport,Kagau Island,Solomon Islands,-7.332778,157.586944,0,11,U,Pacific/Guadalcanal
AGRC,RIN,Ringi Cove Airport,Ringi Cove,Solomon Islands,-8.12639,157.143,0,11,U,Pacific/Guadalcanal
AGRM,RBV,Ramata Airport,Ramata,Solomon Islands,-8.167954,157.642008,0,11,U,Pacific/Guadalcanal
ALX_,ALX,Alexandria,Alexandria,United States,38.806346,-77.0621,1,-5,A,America/New_York
ANYN,INU,Nauru International Airport,Nauru,Nauru,-0.547613,166.919112,22,12,U,Pacific/Nauru
AUGS,AUB,Augsburg HBF,Augsburg,Germany,48.3655,10.886,1200,2,E,Europe/Berlin
AYBK,BUA,Buka Island Airport,Buka Island,Papua New Guinea,-5.420128,154.674913,11,10,U,Pacific/Port_Moresby
AYCH,CMU,Chimbu Airport,Kundiawa,Papua New Guinea,-6.023886,144.970477,4974,10,U,Pacific/Port_Moresby
AYDU,DAU,Daru Airport,,Papua New Guinea,-9.086667,143.207778,20,10,U,Pacific/Port_Moresby
AYGA,GKA,Goroka Airport,Goroka,Papua New Guinea,-6.0825,145.391111,5282,10,U,Pacific/Port_Moresby
AYGN,GUR,Gurney Airport,,Papua New Guinea,-10.310449,150.333904,88,10,U,Pacific/Port_Moresby
AYGR,PNP,Girua Airport,,Papua New Guinea,-8.803523,148.30967,311,10,U,Pacific/Port_Moresby
AYHK,HKN,Hoskins Airport,Hoskins,Papua New Guinea,-5.461667,150.405,66,10,U,Pacific/Port_Moresby
AYKI,UNG,Kiunga Airport,Kiunga,Papua New Guinea,-6.119134,141.295595,88,10,U,Pacific/Port_Moresby
AYKK,KRI,Kikori Airport,Kikori,Papua New Guinea,-7.424819,144.250013,50,10,U,Pacific/Port_Moresby
AYKM,KMA,Kerema Airport,,Papua New Guinea,-7.963416,145.771388,10,10,U,Pacific/Port_Moresby
AYKV,KVG,Kavieng Airport,,Papua New Guinea,-2.578608,150.806428,7,10,U,Pacific/Port_Moresby
AYMD,MAG,Madang Airport,Madang,Papua New Guinea,-5.208611,145.787778,20,10,U,Pacific/Port_Moresby
AYMH,HGU,Kagamuga Airport,Mount Hagen,Papua New Guinea,-5.828889,144.300278,5388,10,U,Pacific/Port_Moresby
AYMN,MDU,Mendi Airport,,Papua New Guinea,-6.148056,143.656944,5680,10,U,Pacific/Port_Moresby
AYMO,MAS,Momote Airport,,Papua New Guinea,-2.060708,147.425718,12,10,U,Pacific/Port_Moresby
AYMR,MXH,Moro Airport,Moro,Papua New Guinea,-6.362084,143.23014,2740,10,U,Pacific/Port_Moresby
AYMS,MIS,Misima Airport,Misima Island,Papua New Guinea,-10.689285,152.837591,26,10,U,Pacific/Port_Moresby
AYNZ,LAE,Lae Nadzab Airport,Nadzab,Papua New Guinea,-6.569722,146.726111,239,10,U,Pacific/Port_Moresby
AYPY,POM,Jacksons International Airport,Port Moresby,Papua New Guinea,-9.441944,147.218889,146,10,U,Pacific/Port_Moresby
AYTA,TIZ,Tari Airport,Tari,Papua New Guinea,-5.844722,142.947222,5500,10,U,Pacific/Port_Moresby
AYTB,TBG,Tabubil Airport,Tabubil,Papua New Guinea,-5.27861,141.226,1570,10,U,Pacific/Port_Moresby
AYTK,RAB,Rabaul Airport,,Papua New Guinea,-4.340456,152.379667,32,10,U,Pacific/Port_Moresby
AYVN,VAI,Vanimo Airport,,Papua New Guinea,-2.69717,141.302,10,10,U,Pacific/Port_Moresby
AYWD,WBM,Wapenamanda Airport,,Papua New Guinea,-5.634367,143.891298,5889,10,U,Pacific/Port_Moresby
AYWK,WWK,Wewak Airport,Wewak,Papua New Guinea,-3.583611,143.669167,19,10,U,Pacific/Port_Moresby
BAMB,BAM,Bamberg BF,Bamberg,Germany,49.911,10.9,800,1,E,Europe/Berlin
BGAM,AGM,Tasiilaq Heliport,Angmagssalik,Greenland,65.612308,-37.618385,24,-2,U,America/Godthab
BGAP,LLU,Alluitsup Paa Airport,Alluitsup Paa,Greenland,60.464435,-45.568548,89,-3,E,America/Godthab
BGBW,UAK,Narsarsuaq Airport,Narssarssuaq,Greenland,61.160262,-45.426897,112,-3,E,America/Godthab
BGCH,JCH,Christianshab,Qasigiannguit,Greenland,68.823633,-51.167965,2,-3,E,America/Godthab
BGCO,CNP,Neerlerit Inaat Airport,Neerlerit Inaat,Greenland,70.741477,-22.64882,45,-1,E,America/Scoresbysund
BGEM,JEG,Aasiaat Airport,Aasiaat,Greenland,68.721638,-52.786395,2,-3,E,America/Godthab
